SECURITY_ID,PRICE_DATE,CLOSE_PRICE_LOCAL,CURRENCY
10001,2024-12-24,47.3933,CAD
10001,2024-12-25,47.5235,CAD
10001,2024-12-26,47.4336,CAD
10001,2024-12-27,46.9977,CAD
10001,2024-12-30,46.4707,CAD
10001,2024-12-31,46.2118,CAD
10001,2025-01-01,45.3476,CAD
10001,2025-01-02,46.6568,CAD
10001,2025-01-03,45.8615,CAD
10001,2025-01-06,46.4586,CAD
10001,2025-01-07,45.9347,CAD
10001,2025-01-08,45.7247,CAD
10001,2025-01-09,44.9925,CAD
10001,2025-01-10,43.036,CAD
10001,2025-01-13,43.3194,CAD
10001,2025-01-14,44.3204,CAD
10001,2025-01-15,42.5771,CAD
10001,2025-01-16,43.6483,CAD
10001,2025-01-17,42.9135,CAD
10001,2025-01-20,43.9029,CAD
10001,2025-01-21,44.5598,CAD
10001,2025-01-22,44.3668,CAD
10001,2025-01-23,44.6138,CAD
10001,2025-01-24,45.3528,CAD
10001,2025-01-27,45.1553,CAD
10001,2025-01-28,45.5258,CAD
10001,2025-01-29,46.1428,CAD
10001,2025-01-30,44.897,CAD
10001,2025-01-31,45.3081,CAD
10001,2025-02-03,44.5854,CAD
10001,2025-02-04,45.3264,CAD
10001,2025-02-05,45.83,CAD
10001,2025-02-06,46.3362,CAD
10001,2025-02-07,46.1421,CAD
10001,2025-02-10,46.1486,CAD
10001,2025-02-11,46.7066,CAD
10001,2025-02-12,46.1389,CAD
10001,2025-02-13,47.2032,CAD
10001,2025-02-14,45.9106,CAD
10001,2025-02-17,45.5362,CAD
10001,2025-02-18,44.4462,CAD
10001,2025-02-19,44.6097,CAD
10001,2025-02-20,43.9019,CAD
10001,2025-02-21,43.7296,CAD
10001,2025-02-24,45.1083,CAD
10001,2025-02-25,44.1718,CAD
10001,2025-02-26,44.4273,CAD
10001,2025-02-27,44.0632,CAD
10001,2025-02-28,44.1418,CAD
10001,2025-03-03,44.0197,CAD
10001,2025-03-04,44.4498,CAD
10001,2025-03-05,44.0708,CAD
10001,2025-03-06,43.8105,CAD
10001,2025-03-07,42.9862,CAD
10001,2025-03-10,42.7741,CAD
10001,2025-03-11,43.7764,CAD
10001,2025-03-12,42.119,CAD
10001,2025-03-13,41.8875,CAD
10001,2025-03-14,42.6286,CAD
10001,2025-03-17,41.5793,CAD
10001,2025-03-18,41.0291,CAD
10001,2025-03-19,39.9881,CAD
10001,2025-03-20,41.0597,CAD
10001,2025-03-21,40.8906,CAD
10001,2025-03-24,41.7632,CAD
10001,2025-03-25,42.5957,CAD
